meter_id,X2018_7_1_1h,X2018_7_1_2h,X2018_7_1_3h,X2018_7_1_4h,X2018_7_1_5h,X2018_7_1_6h,X2018_7_1_7h,X2018_7_1_8h,X2018_7_1_9h,X2018_7_1_10h,X2018_7_1_11h,X2018_7_1_12h,X2018_7_1_13h,X2018_7_1_14h,X2018_7_1_15h,X2018_7_1_16h,X2018_7_1_17h,X2018_7_1_18h,X2018_7_1_19h,X2018_7_1_20h,X2018_7_1_21h,X2018_7_1_22h,X2018_7_1_23h,X2018_7_1_24h
X5,6.533072472,6.517428398,6.361238956,6.247999668,6.221354961,6.142922878,5.986959457,6.249200821,5.994526863,6.08989954,5.954492569,6.113022327,6.215835094,6.078763485,6.206302643,6.427849293,6.44156456,6.49423027,6.405322552,6.542506695,6.322241783,6.375850677,6.131353855,6.29830265
X7,1.135076523,1.822965384,1.441439509,1.413115501,1.685873985,1.516477227,1.300942421,2.038778067,2.171161413,2.059770584,2.266141653,2.272469997,2.272469997,2.25346446,2.207669973,2.206570387,1.840027332,2.286146402,2.114949226,1.662143111,1.624302149,1.62496841,1.624940038,1.406044602
X10,2.880102158,3.159990311,3.151716709,3.144714355,3.161884069,3.182209969,3.146608114,4.867200851,6.46467495,7.067737579,7.9031353,6.962409973,8.407972336,8.171936035,8.320072174,8.320072174,8.072568893,6.735964775,7.458931923,4.394539356,3.587256908,3.597060442,3.817821741,3.581784487
X16,3.720927477,4.307393074,4.307393074,4.286317825,4.307393074,4.230911732,4.096698761,4.104141712,4.712266445,4.730250359,5.099845409,4.998659134,6.730551243,6.724062443,6.724062443,7.008602619,7.008602619,5.172290325,7.008602619,6.202271461,5.685959339,5.034208775,4.278836727,4.154884338
X18,2.569508314,2.550245047,2.554425001,2.551727533,2.55555892,2.592485428,2.704829454,2.62022543,2.601480246,2.602738619,2.561244726,2.600992441,2.564261198,2.746095896,2.603440285,2.603440285,2.603440285,2.603440285,2.653345823,2.560305834,2.561173439,2.561173439,2.561173439,2.560305834
X20,0.511581659,0.398201317,4.06575489,0.238643423,0.237724453,0.238643423,0.240798205,0.398599058,4.067909241,0.701773763,0.299160659,0.433869302,0.453719437,0.721623898,4.087758541,4.068859577,0.396159708,0.345941603,0.376518458,0.376518458,0.377199441,0.377199441,4.091804504,0.24736093
X26,1.092766523,1.186765075,1.186765075,1.228594422,1.38392961,1.727822423,1.427422762,1.42645061,1.425663352,1.408452392,1.41649127,1.431163073,1.394569755,1.408452392,1.408452392,1.439831734,1.469038606,1.46223557,1.447595239,1.43300283,1.447643161,1.431866407,1.2730335,1.294955015
X30,4.566913128,3.009402752,3.027983427,3.027983427,2.979017019,2.974265814,3.01981473,2.979017019,3.021358252,2.705228806,5.084864616,6.151880741,6.299404621,5.797868729,6.432546616,6.354056835,7.065562725,6.006175518,7.478719711,6.829422951,6.932343006,6.790277481,4.826092243,5.205102921
X31,0.302486092,0.427286685,0.42798245,0.42944482,0.430372894,0.481497616,0.500246108,0.513165116,0.489458382,0.565094352,0.554203451,0.570834517,0.57206744,0.56513679,0.541708708,0.565241039,0.531164646,0.491733313,0.530201316,0.473060697,0.4837901,0.487191349,0.508759737,0.384596348
X32,0.296325624,0.256062329,0.254990369,0.249312624,0.282244742,0.511477947,0.559767962,0.592200875,0.58040911,0.57933718,0.633324444,0.596181035,0.562660754,0.550049007,0.550049007,0.578406036,0.578406036,0.559315741,0.565624356,0.542816401,0.552754223,0.508287907,0.474797189,0.318556815
