meter_id,X2018_7_1_1h,X2018_7_1_2h,X2018_7_1_3h,X2018_7_1_4h,X2018_7_1_5h,X2018_7_1_6h,X2018_7_1_7h,X2018_7_1_8h,X2018_7_1_9h,X2018_7_1_10h,X2018_7_1_11h,X2018_7_1_12h,X2018_7_1_13h,X2018_7_1_14h,X2018_7_1_15h,X2018_7_1_16h,X2018_7_1_17h,X2018_7_1_18h,X2018_7_1_19h,X2018_7_1_20h,X2018_7_1_21h,X2018_7_1_22h,X2018_7_1_23h,X2018_7_1_24h,X2018_7_1_d,X2018_7_2_d,X2018_7_3_d,X2018_7_4_d,X2018_7_5_d,X2018_7_6_d,X2018_7_7_d,X2018_7_8_d,X2018_7_9_d,X2018_7_10_d,X2018_7_m,X2018_8_m,X2018_9_m,X2018_10_m,X2018_11_m
X5,6.533072472,6.517428398,6.361238956,6.247999668,6.221354961,6.142922878,5.986959457,6.249200821,5.994526863,6.08989954,5.954492569,6.113022327,6.215835094,6.078763485,6.206302643,6.427849293,6.44156456,6.49423027,6.405322552,6.542506695,6.322241783,6.375850677,6.131353855,6.29830265,152.9614029,151.973156,151.4959597,151.2757347,151.1847224,151.1586821,151.1653115,151.1883682,151.2196851,151.2551555,4700.315536,4734.280821,4617.861104,4809.298795,4690.459144
X7,1.135076523,1.822965384,1.441439509,1.413115501,1.685873985,1.516477227,1.300942421,2.038778067,2.171161413,2.059770584,2.266141653,2.272469997,2.272469997,2.25346446,2.207669973,2.206570387,1.840027332,2.286146402,2.114949226,1.662143111,1.624302149,1.62496841,1.624940038,1.406044602,50.64359576,45.3986797,42.73659755,41.39017392,40.71392785,40.37906062,40.21808686,40.14569194,40.11841781,40.11412756,1268.281828,1265.220143,1242.315902,1302.232722,1278.134528
X10,2.880102158,3.159990311,3.151716709,3.144714355,3.161884069,3.182209969,3.146608114,4.867200851,6.46467495,7.067737579,7.9031353,6.962409973,8.407972336,8.171936035,8.320072174,8.320072174,8.072568893,6.735964775,7.458931923,4.394539356,3.587256908,3.597060442,3.817821741,3.581784487,85.93226102,73.93354588,73.93354588,73.93354588,73.93354588,73.93354588,73.93354588,73.93354588,73.93354588,73.93354588,2303.938637,2291.939922,2218.006376,2291.939922,2218.006376
X16,3.720927477,4.307393074,4.307393074,4.286317825,4.307393074,4.230911732,4.096698761,4.104141712,4.712266445,4.730250359,5.099845409,4.998659134,6.730551243,6.724062443,6.724062443,7.008602619,7.008602619,5.172290325,7.008602619,6.202271461,5.685959339,5.034208775,4.278836727,4.154884338,120.517161,115.8075188,113.789222,112.9418127,112.6038055,112.4874171,112.4674455,112.4894205,112.5296447,112.5778084,3514.788138,3552.022654,3487.105398,3654.661835,3586.433638
X18,2.569508314,2.550245047,2.554425001,2.551727533,2.55555892,2.592485428,2.704829454,2.62022543,2.601480246,2.602738619,2.561244726,2.600992441,2.564261198,2.746095896,2.603440285,2.603440285,2.603440285,2.603440285,2.653345823,2.560305834,2.561173439,2.561173439,2.561173439,2.560305834,64.3293045,63.21232111,62.6035065,62.27167057,62.09080256,61.99221999,61.93848731,61.90920018,61.89323716,61.88453647,1923.494139,1918.09749,1856.223377,1918.09749,1856.223377
X20,0.511581659,0.398201317,4.06575489,0.238643423,0.237724453,0.238643423,0.240798205,0.398599058,4.067909241,0.701773763,0.299160659,0.433869302,0.453719437,0.721623898,4.087758541,4.068859577,0.396159708,0.345941603,0.376518458,0.376518458,0.377199441,0.377199441,4.091804504,0.24736093,10.89625799,63.0606164,13.18855863,61.20775763,15.31246502,59.51645222,17.28138104,57.97384079,19.10764367,56.56808756,1185.47684,1292.506609,1326.305153,1454.4549,1488.827802
X26,1.092766523,1.186765075,1.186765075,1.228594422,1.38392961,1.727822423,1.427422762,1.42645061,1.425663352,1.408452392,1.41649127,1.431163073,1.394569755,1.408452392,1.408452392,1.439831734,1.469038606,1.46223557,1.447595239,1.43300283,1.447643161,1.431866407,1.2730335,1.294955015,34.51161187,35.21422539,35.30986718,35.32288621,35.3246584,35.32489964,35.32493248,35.32493695,35.32493756,35.32493764,1094.131584,1095.073067,1059.74813,1095.073067,1059.74813
X30,4.566913128,3.009402752,3.027983427,3.027983427,2.979017019,2.974265814,3.01981473,2.979017019,3.021358252,2.705228806,5.084864616,6.151880741,6.299404621,5.797868729,6.432546616,6.354056835,7.065562725,6.006175518,7.478719711,6.829422951,6.932343006,6.790277481,4.826092243,5.205102921,124.6049012,115.7323726,113.5196619,113.0199866,112.9609374,113.0152259,113.098667,113.1896068,113.2824754,113.3758401,3548.29802,3621.935567,3590.684836,3798.813095,3761.856637
X31,0.302486092,0.427286685,0.42798245,0.42944482,0.430372894,0.481497616,0.500246108,0.513165116,0.489458382,0.565094352,0.554203451,0.570834517,0.57206744,0.56513679,0.541708708,0.565241039,0.531164646,0.491733313,0.530201316,0.473060697,0.4837901,0.487191349,0.508759737,0.384596348,11.24211264,11.32630251,11.401267,11.46801699,11.52745264,11.58037542,11.62749901,11.66945887,11.70682084,11.74008875,365.5035233,372.1362905,360.3075073,372.3228656,360.3125984
X32,0.296325624,0.256062329,0.254990369,0.249312624,0.282244742,0.511477947,0.559767962,0.592200875,0.58040911,0.57933718,0.633324444,0.596181035,0.562660754,0.550049007,0.550049007,0.578406036,0.578406036,0.559315741,0.565624356,0.542816401,0.552754223,0.508287907,0.474797189,0.318556815,11.48923643,11.51123993,11.53213987,11.5519916,11.57084768,11.58875805,11.60577015,11.62192902,11.63727746,11.65185612,362.7938987,368.3519569,357.5555035,369.7053085,357.8263876
X35,0.005923437,0.005931213,0.005909412,0.005929345,0.005931854,0.005923486,0.005911507,0.005911507,0.005912106,0.005913745,0.005912531,0.005911367,0.005912004,0.005912004,0.005912731,0.005910291,0.00587387,0.005910928,0.00592787,0.005929673,0.005929673,0.005929673,0.005929673,0.005929673,0.141781599,0.141947162,0.142101814,0.142246275,0.142381216,0.142507264,0.142625006,0.142734989,0.142837724,0.142933689,4.439595395,4.469062641,4.32833421,4.473049536,4.32881131
X37,8.047146797,5.605750084,4.342252254,5.13726759,2.865387917,2.650165558,2.650165558,2.66773653,2.558094263,2.895938635,2.895938635,2.895938635,2.682012081,2.719272614,2.900052071,2.900052071,5.86398077,7.668178558,9.222048759,8.943659782,9.028169632,8.839928627,7.419385433,6.585693836,124.1289098,121.3180721,120.7026337,120.6174677,120.6603825,120.7342336,120.8155572,120.8986855,120.9822498,121.0659194,3773.643618,3849.050646,3801.476076,4007.333243,3954.652782
X41,2.366255283,2.289352655,2.266778231,2.232344627,2.164883852,2.037994862,1.451643467,1.144107461,1.155983448,2.515177965,1.43214345,1.43214345,1.628295422,2.095114231,2.463151932,2.468861818,3.162834644,2.50475359,2.532474279,2.514047384,2.519047976,2.50475359,2.50475359,2.499043703,45.73392698,45.47678003,45.36961115,45.32012864,45.29283414,45.27407387,45.25859614,45.24438098,45.23065144,45.21710868,1399.874481,1386.328481,1329.323414,1360.939909,1304.753828
X42,1.222077489,0.644334257,0.626750112,0.626750112,0.595041394,0.40451929,0.64496088,0.361891866,0.37023446,0.364828557,0.363431692,0.364828557,0.674106658,3.917855501,3.917855501,3.300067186,3.708613634,1.543063164,0.749920785,3.704107285,2.032731771,1.445600986,1.759575844,1.759575844,47.72919132,43.14023146,41.50169573,40.95171411,40.80335272,40.80316846,40.85765389,40.93230963,41.01440716,41.09925033,1301.867658,1373.20401,1408.007416,1536.677983,1566.208034
X43,0.306884915,0.288985819,0.30736658,0.292837143,0.303784996,0.292837143,0.286790401,0.31077829,0.366903663,0.323854804,0.307425141,0.302354127,0.251712561,0.271490842,0.301765412,0.301765412,0.301765412,0.301765412,0.301765412,0.238861144,0.332291394,0.245997161,0.247669518,0.23472558,15.45397227,16.68741477,15.8356783,16.42383302,16.017691,16.29814669,16.10448193,16.23821442,16.14586732,16.20963632,501.2596502,501.6912478,485.5076548,501.6912433,485.5076548
X44,-0.03727261,-0.029379422,-0.041163698,-0.03661862,-0.041163698,-0.040807769,0.039363671,0.050613161,0.298882008,0.687057078,2.231664419,1.764429688,1.837738276,0.472612202,0.314979076,0.210953459,0.210953459,0.138981372,0.138981372,0.324715972,0.07771793,0.07771793,0.996318042,0.07771793,54.24705324,52.13377374,50.95614211,50.2999032,49.93421201,49.73042945,49.61687097,49.55359016,49.51832673,49.49867607,1544.472915,1533.69224,1484.218297,1533.69224,1484.218297
X47,0.063712418,0.064965248,0.064965248,0.064965248,0.064965248,0.064965248,0.064965248,0.064965248,0.064965248,0.073923096,0.073923096,0.073923096,0.073923096,0.073923096,0.073923096,0.073923096,0.073923096,0.04493428,0.064559288,0.064559288,0.031791348,0.028783856,0.009158837,0.081049427,87.2508022,133.7697346,175.4815011,212.8978395,246.4760116,276.6246021,303.7087008,328.0545322,349.9535937,369.6663513,12624.81651,17678.38583,18464.27895,20370.49151,20959.12717
