Time,temp,wind,hue,hpa
2018-02-15 2:00,-1.2,3.9,39,1013.9
2018-02-15 3:00,-1.5,3.5,40,1014
2018-02-15 4:00,-1.9,5.3,36,1014.1
2018-02-15 5:00,-2.6,5.3,36,1014
2018-02-15 6:00,-2.9,4.3,38,1014.2
2018-02-15 7:00,-3.5,5.2,42,1014
2018-02-15 8:00,-4,4.7,43,1014.7
2018-02-15 9:00,-3.3,4.1,38,1015
2018-02-15 10:00,-2.6,4.9,37,1015
2018-02-15 11:00,-2.1,5,33,1014.9
2018-02-15 12:00,-0.9,4.3,28,1014.8
2018-02-15 13:00,0.6,4.9,20,1014.1
2018-02-15 14:00,1.5,4.3,26,1013.6
2018-02-15 15:00,1.7,3.8,24,1013.6
2018-02-15 16:00,1.7,4.1,30,1012.9
2018-02-15 17:00,1,3.5,35,1012.5
2018-02-15 18:00,0,3.6,36,1012.4
2018-02-15 19:00,-0.5,2.7,36,1012.8
2018-02-15 20:00,-1.1,1.7,50,1013.1
2018-02-15 21:00,-1.4,3.3,50,1013.4
2018-02-15 22:00,-1.9,2.9,52,1013.5
2018-02-15 23:00,-2.4,2.6,47,1013.2
2018-02-16 0:00,-3.1,3.4,40,1012.9
2018-02-16 1:00,-3.8,2.9,44,1013
2018-02-16 2:00,-4,2.8,45,1012.5
2018-02-16 3:00,-4.2,1.7,47,1012.4
2018-02-16 4:00,-4.3,3.1,53,1011.9
2018-02-16 5:00,-5,2.1,52,1011.2
2018-02-16 6:00,-5.3,1.6,53,1011.1
2018-02-16 7:00,-5.6,0.9,55,1010.9
2018-02-16 8:00,-5.5,0.7,55,1011.2
2018-02-16 9:00,-4.2,1.4,54,1011.5
2018-02-16 10:00,-2.8,1.8,45,1011.6
2018-02-16 11:00,-0.7,1.8,39,1011.3
2018-02-16 12:00,0.5,1.1,19,1010.6
2018-02-16 13:00,2.2,3,28,1009.6
2018-02-16 14:00,2.4,3.2,36,1009
2018-02-16 15:00,2.5,3.3,37,1008.6
2018-02-16 16:00,1.8,3.1,46,1008.4
2018-02-16 17:00,1.1,4.1,54,1008.5
2018-02-16 18:00,0.1,2.6,62,1008.6
2018-02-16 19:00,-0.1,3.1,71,1008.8
2018-02-16 20:00,0.3,3.1,77,1009.1
2018-02-16 21:00,0.4,4.4,66,1009.3
2018-02-16 22:00,-1.1,6.4,62,1010.2
2018-02-16 23:00,-2.1,5,65,1011.1
2018-02-17 0:00,-2.6,6.6,57,1011.6
2018-02-17 1:00,-3.1,4.3,49,1012
2018-02-17 2:00,-3.5,6.8,37,1012.6
2018-02-17 3:00,-4.1,6.6,39,1013.3
2018-02-17 4:00,-4.6,6.3,37,1013.4
2018-02-17 5:00,-4.8,4.6,38,1014
2018-02-17 6:00,-5.3,3.9,38,1014.7
2018-02-17 7:00,-5.5,5.3,35,1015.5
2018-02-17 8:00,-5.7,4.1,36,1016.2
2018-02-17 9:00,-5.1,3,32,1017.1
2018-02-17 10:00,-4.3,3.8,27,1017.7
2018-02-17 11:00,-3.4,4.8,26,1018.1
2018-02-17 12:00,-2.5,3.9,27,1017.4
2018-02-17 13:00,-1.6,4,26,1016.3
2018-02-17 14:00,-0.4,3.1,23,1015.9
2018-02-17 15:00,0.1,5.4,22,1016.5
2018-02-17 16:00,0.5,4.8,27,1017.4
2018-02-17 17:00,-0.8,5,39,1016.8
2018-02-17 18:00,-1.7,4.8,47,1016.7
2018-02-17 19:00,-1.8,2.2,48,1016.9
2018-02-17 20:00,-1.7,2.6,44,1016.9
2018-02-17 21:00,-1.6,2.6,45,1017.2
2018-02-17 22:00,-2.6,4.4,39,1017.8
2018-02-17 23:00,-2.8,2.9,35,1018
2018-02-18 0:00,-3.6,2.9,35,1018.3
2018-02-18 1:00,-3.8,3.4,34,1018.3
2018-02-18 2:00,-3.9,3.2,34,1018.3
2018-02-18 3:00,-3.8,2.7,35,1018.6
2018-02-18 4:00,-4,3.2,37,1018.3
2018-02-18 5:00,-4,2.6,35,1018.1
2018-02-18 6:00,-4.1,3.3,37,1018.8
2018-02-18 7:00,-4.5,1.2,39,1018.9
2018-02-18 8:00,-4.3,1.8,37,1019.2
2018-02-18 9:00,-3.5,1.1,36,1019.7
2018-02-18 10:00,-1.3,2.5,27,1019.4
2018-02-18 11:00,0.1,2,23,1018.7
2018-02-18 12:00,0.9,3,21,1018.2
2018-02-18 13:00,1.6,2.2,22,1017.1
2018-02-18 14:00,2.8,2.5,20,1016.3
2018-02-18 15:00,3.2,2.3,19,1015.9
2018-02-18 16:00,2.5,4,32,1015.9
2018-02-18 17:00,1.9,2.7,35,1015.9
2018-02-18 18:00,1,1.1,40,1016.2
2018-02-18 19:00,-0.4,3.1,44,1016.6
2018-02-18 20:00,-0.7,3,51,1016.5
2018-02-18 21:00,-0.9,1.2,58,1016.6
2018-02-18 22:00,-0.8,3.2,51,1017.3
2018-02-18 23:00,-0.8,2.6,50,1017.4
2018-02-19 0:00,-0.9,1.6,56,1017.2
2018-02-19 1:00,-1.2,1.8,53,1017.2
2018-02-19 2:00,-1,2,46,1017.2
2018-02-19 3:00,-1.2,1.6,63,1017.4
2018-02-19 4:00,-1.2,0.9,49,1017.1
2018-02-19 5:00,-1.1,2.3,55,1016.8
2018-02-19 6:00,-0.6,1.5,55,1016.9
2018-02-19 7:00,-1,2.1,60,1017.1
2018-02-19 8:00,-0.6,0.8,56,1016.9
2018-02-19 9:00,0.1,0.9,58,1017
2018-02-19 10:00,1.5,1.3,48,1017.2
2018-02-19 11:00,3.2,3.4,53,1016.9
2018-02-19 12:00,3.9,3.3,52,1015.9
2018-02-19 13:00,4.1,3.3,49,1015.3
2018-02-19 14:00,4.3,3.6,51,1014.8
2018-02-19 15:00,4.7,1.6,52,1013.9
2018-02-19 16:00,4.3,3.1,56,1013.5
2018-02-19 17:00,3.5,3.4,62,1013.1
2018-02-19 18:00,2.8,2.5,66,1014.1
2018-02-19 19:00,2,0.6,68,1014
